Character,Word,Count
MICHAEL,halyards,1
MICHAEL,mast,2
MICHAEL,sun,4
MICHAEL,protect,1
MICHAEL,done,8
MICHAEL,neck,2
MICHAEL,easy,1
MICHAEL,burn,6
MICHAEL,why'd,1
MICHAEL,burned,2
MICHAEL,toward,3
MICHAEL,everybody,7
MICHAEL,salvage,2
MICHAEL,pontoons,2
MICHAEL,shot,3
MICHAEL,fire,4
MICHAEL,twine,1
MICHAEL,beating,1
MICHAEL,carcass,1
MICHAEL,scared,5
MICHAEL,sees,2
MICHAEL,collects,1
MICHAEL,backs,1
MICHAEL,doubt,1
MICHAEL,tighter,2
MICHAEL,standing,2
MICHAEL,guard,1
MICHAEL,24,2
MICHAEL,7,5
MICHAEL,nobody,4
MICHAEL,gets,1
MICHAEL,without,4
MICHAEL,intent,1
MICHAEL,thinking,4
MICHAEL,chances,2
MICHAEL,passing,1
MICHAEL,ship,1
MICHAEL,spotting,1
MICHAEL,slim,1
MICHAEL,send,2
MICHAEL,distress,1
MICHAEL,ships,1
MICHAEL,sos,2
MICHAEL,rescued,2
MICHAEL,bothering,1
MICHAEL,point,3
MICHAEL,pitch,1
MICHAEL,seeing,1
MICHAEL,bought,2
MICHAEL,ticket,1
MICHAEL,tie,2
MICHAEL,tied,1
MICHAEL,total,1
MICHAEL,loss,1
MICHAEL,learned,1
MICHAEL,few,1
MICHAEL,saving,2
MICHAEL,trial,2
MICHAEL,error,1
MICHAEL,faster,2
MICHAEL,idiot,2
MICHAEL,flip,1
MICHAEL,it'll,1
MICHAEL,less,1
MICHAEL,fish,5
MICHAEL,eat,4
MICHAEL,obsession,1
MICHAEL,lied,1
MICHAEL,cargo,2
MICHAEL,container,1
MICHAEL,shout,1
MICHAEL,made,6
MICHAEL,wide,1
MICHAEL,shark's,1
MICHAEL,anywhere,2
MICHAEL,die,5
MICHAEL,calm,1
MICHAEL,launch,2
MICHAEL,leave,4
MICHAEL,arzt,3
MICHAEL,offense,2
MICHAEL,interest,1
MICHAEL,raft's,2
MICHAEL,full,2
MICHAEL,including,1
MICHAEL,semantics,1
MICHAEL,deal's,1
MICHAEL,decide,3
MICHAEL,surviving,1
MICHAEL,sea,1
MICHAEL,sailing,3
MICHAEL,navigating,1
